   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      695    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:102(release)
      546    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
      546    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:146(__enter__)
      546    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:153(__exit__)
      695    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
      541    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
    580/5    0.000    0.000    0.415    0.083 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
     5368    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:218(_requires_builtin_wrapper)
      482    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(__init__)
      482    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
      482    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(__exit__)
     1924    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      539    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:355(__init__)
      925    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:389(cached)
      857    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:402(parent)
      482    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
       10    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:419(spec_from_loader)
      482    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
  482/480    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
      541    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:57(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:612(_load_backward_compatible)
    487/3    0.002    0.000    0.416    0.139 <frozen importlib._bootstrap>:641(_load_unlocked)
      534    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:727(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:744(is_package)
      695    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:77(acquire)
      529    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
     1656    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:834(__enter__)
     1656    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:838(__exit__)
       64    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:852(_find_spec_legacy)
  534/524    0.003    0.000    0.051    0.000 <frozen importlib._bootstrap>:861(_find_spec)
    546/3    0.002    0.000    0.416    0.139 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
    546/3    0.002    0.000    0.416    0.139 <frozen importlib._bootstrap>:958(_find_and_load)
2046/1662    0.001    0.000    0.076    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:106(_write_atomic)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     1081    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cac
he)
      529    0.002    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      529    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
      477    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      940    0.007    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       51    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
